ticker,year,market_cap,enterprise_value,pe_ratio,pb_ratio,ps_ratio,ev_ebitda,gross_margin,ebitda_margin,net_margin,roe,roic,roa,working_capital,net_debt,net_debt_to_ebitda,current_ratio,leverage_ratio,financial_debt_ratio,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,total_equity,revenue,gross_profit,operating_income,ebitda,net_income
MGROS,2022,116146290469.5,120037557469.5,17.95947977997968,1.469573268848448,0.2908193526150988,4.393760450245159,24.31140376010957,6.618916891540411,1.566815086482881,8.396291868531357,8.182353198393232,3.185791233070391,-19998945000.0,3891267000.0,0.142432880228243,0.7922389875504489,61.870667172833,15.17379160767878,209583279000,76260429000.0,133322850000.0,96259374000.0,33411199000.0,79034025000.0,412756429000.0,100346882000.0,-8252604000.0,27320005000,6467130000
MIATK,2022,19740240000.0,20134856647.0,46.89673957668054,3.614059170651116,7.303077978827358,16.99359783608103,33.89222851654659,42.97546669794295,-26.47352555845821,-12.51327753441295,10.98337194139916,-9.503758464989737,1286468273.0,394616647.0,0.3330521153494236,1.847614586640199,23.79852632834255,15.20021039427611,7172560147,2804219729.0,4368340418.0,1517751456.0,189212159.0,5462068845.0,2757037061.0,934421301.0,691765143.0,1184849544,-729884911
OYAKC,2022,115221242057.1,104626991057.1,13.1489760019624,1.830297102325578,1.851719906789778,7.142621497150992,26.69626129246687,25.92493396896896,15.50858517114991,14.28705636246257,12.88909113108498,11.36779242365375,18088898000.0,-10594251000.0,-0.7232428666281365,2.245142546875693,21.60107654947487,5.204040211322213,80297285000,32616470000.0,47680815000.0,14527572000.0,2817506000.0,62952207000.0,56502601000.0,15084082000.0,11347996000.0,14648262000,8762754000
PASEU,2022,88704000000.0,89391961900.0,80.67545326798654,25.27732755308544,36.44915432099253,992.935615308996,12.39932151276219,3.67084771248232,44.83227500955415,37.42388743971068,0.7270634300673954,23.5173588407094,1056063691.0,687961900.0,7.64164761536178,1.762515713844014,35.89757875605284,13.60982571684231,5464466691,2441036711.0,3023429980.0,1384973020.0,576638214.0,3509231734.0,2452511274.0,304094758.0,139948218.0,90027954,1099516599
PETKM,2022,60572160000.0,107099939000.0,46.89673957668054,0.946993295629742,1.202349374052742,57.2530112963621,-3.45339747303963,-3.900978176324827,-11.48900827517709,-14.58209031731502,-9.322689023136556,-6.538488900798079,-24171507000.0,46527779000.0,2.791092340904628,0.5605728391280381,57.73354863939424,33.97639466005374,151331860000,30835350000.0,120496510000.0,55006857000.0,32362396000.0,63962607000.0,89075556000.0,-3076133000.0,-13090044000.0,-3474818000,-10233898000
PGSUS,2022,90300000000.0,251658090812.0,6.567168200880356,0.7727600219364121,1.632791045831044,6.783966117217225,16.99614920673892,24.06838444677865,8.921324224991801,14.34010151603534,5.748573437955374,3.964049302414276,2215036296.0,161358090812.0,4.349742212839163,1.025165209759327,71.51074411297557,56.85101508601036,410168210677,90234819051.0,319933391626.0,88019782755.0,205294556815.0,116853871107.0,154127554444.0,26195749122.0,11707541095.0,37096012342,13750218852
SASA,2022,137581032230.4,259244206230.4,46.89673957668054,0.8916344951161116,4.880407506104599,39.66785765682504,6.709464984877364,12.30317893223785,-41.38895680195948,-14.06973223884016,-1.398432666035651,-7.039300736462891,-37731437000.0,121663174000.0,18.61610540302832,0.440977983105229,51.86680882749239,38.28726296937282,320573077000,29764003000.0,290809074000.0,67495440000.0,98775585000.0,154302052000.0,53119377000.0,3564026000.0,1057482000.0,6535372000,-21985556000
SISE,2022,146605424720.16,267378650720.16,14.84230580155356,0.6043805651848245,1.190852789539348,14.19864980557395,27.60643852787815,8.387084728801861,4.399263912263146,4.063845010275606,-0.2702609470269181,1.9194076947098,29187817000.0,120773226000.0,6.413439282623113,1.259895435151324,46.88462560953898,31.94177622544928,506932507000,141493818000.0,365438689000.0,112306001000.0,125367407000.0,242571375000.0,224527039000.0,61983919000.0,4741396000.0,18831273000,9877537000
TAVHL,2022,101173828125.0,189054596125.0,64.68464034475858,1.311858890829683,2.195055215529908,7.323304960493657,32.43387728997119,21.37348665993845,-16.25474751367955,2.233768537710422,8.617968331080194,0.7098587650598988,-10581149000.0,87880768000.0,3.404189463877771,0.7831278730643036,68.3978096745024,41.69603208434764,246228974000,38208657000.0,208020317000.0,48789806000.0,119625419000.0,77122493000.0,18395155000.0,5966262000.0,1863550000.0,3931686000,-2990086000
TCELL,2022,246620000000.0,261508303000.0,14.00931049391198,0.9509778330660946,1.082980966052209,2.493719511730537,28.30419953721862,43.42833911182999,7.290324738656519,6.984914421986608,7.035954524476813,3.701418776970394,64638243000.0,14888303000.0,0.1419735100634885,1.702662888620426,48.19273991282052,31.69351508073854,500572832000,156628647000.0,343944185000.0,91990404000.0,149249359000.0,259333069000.0,241470821000.0,68346383000.0,73436427000.0,104866767000,17604007000
THYAO,2022,425385000000.0,955779000000.0,3.273678053885994,0.4401803416433151,0.921924992355706,5.645108705281996,8.360953787588047,8.241943549606336,3.843604265761103,15.43486085094201,3.465553827405589,7.037191383974835,-12723000000.0,530394000000.0,3.132661197441395,0.9744707235000571,55.22019357442635,37.71744917709785,2158033000000,485646000000.0,1672387000000.0,498369000000.0,693301000000.0,966388000000.0,257961000000.0,21568000000.0,-2451000000.0,21261000000,9915000000
TOASO,2022,147250000000.0,180780388000.0,17.62642817460949,2.452889242830488,0.5441177181438587,18.08236771883189,6.208464046865368,3.009106587171032,2.514389426737307,13.73057641616031,1.918507156043926,5.69262721520801,49602391000.0,33530388000.0,3.353841709705303,1.700691465795806,65.404684231778,30.92882730147747,173524206000,120393022000.0,53131184000.0,70790631000.0,42702328000.0,60031247000.0,332244994000.0,20627311000.0,3605149000.0,9997606000,8353933000
TRALT,2022,132519450000.0,113931321000.0,32.28776529338327,3.09840374262165,6.727499114712008,22.76665755451405,43.78628211933192,29.54978831918221,24.23550945792268,10.07475150417127,5.542418128889739,9.092590454967034,17632522000.0,-18588129000.0,-3.714426935523127,5.467990401402794,10.62407149166024,0.0388784215858179,47854309000,21578932000.0,26275377000.0,3946410000.0,1137666000.0,42770233000.0,16935167000.0,7415280000.0,3865184000.0,5004306000,4104324000
TRMET,2022,46103904000.0,27589288000.0,23.62329315663991,1.879400482064129,1.558236247927828,5.585555651608627,41.20480016925853,27.89760491382912,11.02275292608907,8.290058886323854,7.353972507963942,3.978949679114281,17693598000.0,-18514616000.0,-3.74835400015265,5.063981952147558,10.66541608963868,0.2262563069562943,51629500000,22047357000.0,29582143000.0,4353759000.0,1152742000.0,24531176000.0,17705459000.0,7295499000.0,3632144000.0,4939399000,1951629000
TSKB,2022,32480000000.0,9216303000.0,2.925777141537352,0.6880125818182634,7.197742444903611,57.2530112963621,21.48247707392389,15.98183165495174,-0.2990060422181947,26.736070365376,-8.921998111430284,3.584559479409417,21491341511.31579,-23263697000.0,2.791092340904628,1.605486929375312,48.47849622928319,0.0,353765203000,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,47208439000.0,158447060900.7895,29236805594.78947,3568257000.0,18955421095,2869690000
TTKOM,2022,217525000000.0,275552889000.0,9.465620726273874,1.023950152887373,1.137573609539943,2.780496104525941,41.78019787529404,40.91261295738779,9.487124896878928,11.38609016358772,9.974975218396336,5.889392574205804,39209513000.0,58027889000.0,0.5855366637740594,1.516295602958193,50.20911402972668,29.29029130747355,426658604000,115153435000.0,311505169000.0,75943922000.0,138277583000.0,212437099000.0,242228623000.0,101203598000.0,48723669000.0,99102059000,22980532000
TUPRS,2022,522161607058.0,465173846058.0,17.68649427326315,1.434118844202643,0.5602100456556995,7.49401844076827,9.782823895353404,7.475429238445643,3.555484435870324,8.049986147718345,8.29847857851094,4.976975859728014,67182935000.0,-56987761000.0,-0.9180811334325236,1.395779952919796,37.5262947217754,8.488463737746601,591973843000,236931136000.0,355042707000.0,169748201000.0,52397648000.0,364099258000.0,830356131000.0,81232278000.0,41646897000.0,62072685000,29523183000
TURSG,2022,140600000000.0,146525580834.0,6.556694724510757,2.567941998974724,7.197742444903611,57.2530112963621,21.48247707392389,15.98183165495174,-0.2990060422181947,49.3881403713351,6.185865396246006,14.07327464035062,44715366430.0,5925580834.0,2.791092340904628,1.359749945373696,69.89179407783587,10.7319460626569,181850807021,169011052934.0,12839754087.0,124295686504.0,2803105068.0,54752015449.0,158447060900.7895,29236805594.78947,10267860592.31579,18955421095,6451802119
ULKER,2022,45753278434.5,79773555434.5,9.386206288184509,1.056612751820119,0.7128710948578424,4.33174387271811,28.90454611423886,16.45690779059209,4.35596298672295,11.57176271524665,14.17649392405263,3.832098465181642,49616317000.0,34020277000.0,1.847318019615186,2.405968919943027,63.83947937569749,45.20126362804732,126866763000,84906085000.0,41960678000.0,35289768000.0,45701313000.0,43301842000.0,111904601000.0,32345517000.0,16735605000.0,18416037000,4874523000
AEFES,2023,112381578917.4,167765622917.4,12.54698958176842,1.034714086241112,0.6879950657176279,4.242382292880707,37.6981855898891,16.21718690633272,3.67314389276124,8.194206905394882,8.743831638192157,2.048200044157177,3387272000.0,55384044000.0,1.400527017918382,1.032035162875319,47.04650365230977,22.48354066076161,413578419000,109123335000.0,304455084000.0,105736063000.0,88838123000.0,108611239000.0,243847131000.0,91925944000.0,25729479000.0,39545145000,8956856000
ARCLK,2023,75613986139.5,245395095139.5,46.89673957668054,1.031365275038929,0.4350806234974587,7.316215204232801,29.80078632593055,5.946729173984706,-1.394607791962152,-10.64656111287514,0.5539358163448908,-1.544846094386245,-15788398000.0,169781109000.0,5.061858022676359,0.9554610569655252,86.05257181976896,44.36478872650538,561803151000,338696844000.0,223106307000.0,354485242000.0,128960818000.0,73314458000.0,130271680000.0,38821985000.0,234374000.0,7746904000,-1816779000
ASELS,2023,1916340000000.0,1938424087000.0,53.9517993264902,6.817923062196316,9.546712494882344,35.90665316380595,30.71558453672557,25.16426668376776,16.14686729357718,14.61287626389104,16.90965161258924,8.472935576406886,72793199000.0,22084087000.0,0.4090774860188352,1.539681050431323,41.70580086030744,10.94592663296361,485018937000,207675087000.0,277343850000.0,134881888000.0,67399144000.0,281073867000.0,34305800000.0,10537227000.0,8549768000.0,8632803000,5539312000
ASTOR,2023,283432000000.0,275507255300.0,36.95858014191924,8.516552399830536,7.806779950556354,24.81469145743847,36.94966961725793,31.46031440264467,21.73063918744103,25.33602228118946,29.3086051080299,16.91523939254488,18497720596.0,-7924744700.0,-0.7137746495835053,2.068181255071998,34.33854869786933,9.108880230216323,50684431646,35814744751.0,14869686895.0,17317024155.0,87274088.0,33280133403.0,35290767390.0,13039821956.0,9777395430.0,11102586376,7668909328
BIMAS,2023,444900000000.0,483474474000.0,23.87813552819681,2.686844407171516,0.6705028620639443,11.11828725274763,19.3390599066872,6.0306308590673,2.583979591916266,11.66086578672868,1.897022136353347,5.761307364417715,3130249000.0,38574474000.0,0.8870831980172851,1.028888300504499,50.57739225089362,15.59520845282202,338093384000,111487229000.0,226606155000.0,108356980000.0,62641837000.0,165584579000.0,721062506000.0,139446710000.0,15946069000.0,43484618000,18632108000
BRSAN,2023,77549055354.0,85342126354.0,60.98249089497908,2.055102959765921,1.194371662434362,17.87131182588993,8.412569862143778,6.683178459815643,1.779702390262455,3.749371492218223,4.4117294317175,1.932233400896467,5709944000.0,7793071000.0,1.631930300688742,1.179794213271216,50.47069532323828,17.39562312814938,76186969000,37468163000.0,38718806000.0,31758219000.0,6693874000.0,37734876000.0,71453576000.0,6011082000.0,3066266000.0,4775370000,1271661000
BTCIM,2023,34707600000.0,40065748000.0,46.89673957668054,1.587555194914349,2.803862672988239,29.50134563091498,10.07374444547784,9.50418570077028,-1.600876672724969,-1.040132352621223,0.8448169022028215,-0.6355502453426706,110529000.0,5358148000.0,3.945329464199591,1.021778632668599,30.35762841529901,15.65830993956671,35573935000,5185641000.0,30388294000.0,5075112000.0,5724291000.0,21862295000.0,14289483000.0,1439486000.0,-88634000.0,1358099000,-228757000
CANTE,2023,17900000000.0,18067895716.0,46.89673957668054,0.640791407258151,2.933056200887289,8.338082944243663,6.2713439652927,35.17662537660619,-27.73583629123429,-5.958179929072846,0.6512183916421744,-5.278277952663968,2546603519.0,167895716.0,0.0774815411819912,2.221696571253344,6.990125871218335,2.189742354816806,30928456652,4631084706.0,26297371946.0,2084481187.0,77456863.0,27934207290.0,6160091890.0,386320551.0,-852791069.0,2166912447,-1708553002
CCOLA,2023,209855895150.0,235449078150.0,14.91263934150022,2.767095689823313,1.257844856492776,7.15440714877117,35.56278859692421,17.58139885439455,7.517903430836165,19.25950290152667,13.86282686191656,7.311765140987912,9780354000.0,25593183000.0,0.7776800523226375,1.153209402274213,54.59206357752095,27.31983046048931,190775353000,73616867000.0,117158486000.0,63836513000.0,40311689000.0,75839768000.0,187184514000.0,66568033000.0,25155601000.0,32909656000,14072351000
CIMSA,2023,54466047014.4,77842149014.4,14.7236235523491,1.566882818819355,1.541565679131548,8.550575670354151,14.35566735557795,12.63652135338397,5.507862873413412,10.97291727194727,5.030651499998334,4.011230183763919,-819393000.0,23376102000.0,2.567749369200244,0.9648189381351155,51.39651087197351,30.66873480197315,92966838000,22471348000.0,70495490000.0,23290741000.0,24490970000.0,34760766000.0,11631880000.0,1669834000.0,386284000.0,1469865000,640668000
DOAS,2023,39710000000.0,64894576000.0,12.64214856036777,0.5913761306177866,0.2537116364641571,4.409443057781035,12.48121428891066,5.753824987408557,1.228035679075605,4.516868896495486,8.559795991757769,2.502214275776582,19981197000.0,25184576000.0,1.711236295100516,1.433344438113349,47.75630373688362,23.57945157557572,130369139000,66090470000.0,64278669000.0,46109273000.0,16150209000.0,67148466000.0,255780842000.0,31924555000.0,11506149000.0,14717182000,3141080000
DSTKF,2023,909999999090.0,902512983090.0,241.6498040485637,74.5516841913645,128.6585155729449,284.7285725791873,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,16.96659003426437,10.43508231345989,21491341511.31579,-7487016000.0,-2.362035137997514,1.605486929375312,74.83010164939655,0.0,48495615000,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,12206297000.0,7014794000.0,3169731000.0,10267860592.31579,3169731000,3765780000
ENKAI,2023,627600000000.0,414329489000.0,17.34501732318405,1.68159565550706,2.647352568131955,12.2063978537595,23.68601908721001,21.68823759350582,23.11927101891463,11.08837513836718,5.1178156062825,8.448411262472474,202611578000.0,-213270511000.0,-6.283078508420121,3.788457272327595,23.02375482189342,1.400828177627218,493059685000,275272393000.0,217787292000.0,72660815000.0,40860038000.0,373216949000.0,156507106000.0,37070303000.0,28883252000.0,33943633000,36183302000
EREGL,2023,245840000000.0,277311275000.0,523.8797446235413,0.8319561279455527,1.289519251800106,12.52316782168962,8.051656729554823,9.751198658513776,0.6431381151065027,0.1712703905523716,1.451706607627281,0.0909798329361811,130452731000.0,31471275000.0,1.421219019628917,2.030442529268359,47.1433832273448,26.98363686716349,576746036000,257051476000.0,319694560000.0,126598745000.0,145298849000.0,295496351000.0,59684847000.0,4805619000.0,2427230000.0,5819988000,383856000
FROTO,2023,343891800000.0,443085316000.0,10.1185910077742,2.204142298076892,0.5333057524920747,8.503688777169332,8.351153740036807,6.271463672611017,4.090634612786905,22.15242087125068,9.30990498714738,7.737341445446545,42833128000.0,99193516000.0,1.903720927590312,1.237140354858528,65.38876319946884,36.19666292094078,450780450000,223456658000.0,227323792000.0,180623530000.0,114136231000.0,156020689000.0,830827933000.0,69383718000.0,42603202000.0,52105072000,33986135000
GUBRF,2023,177187000000.0,176781223247.0,33.58663678740731,5.946484872587396,3.367507755826497,15.98703894079233,24.79583218107864,21.06398669758667,10.04934618398041,20.44192952631365,19.30527732581072,8.968972743435701,12788049708.0,-405776753.0,-0.0366960281885557,1.475274602025875,44.202511570063,14.98325300864524,64461257675,39694704626.0,24766553049.0,26906654918.0,1586839964.0,29796931094.0,52496159197.0,13016859536.0,9569918057.0,11057783990,5275520771
HEKTS,2023,28914900000.0,37045776052.0,46.89673957668054,2.071866810351821,6.045413479005643,57.2530112963621,-9.6812306836879,-26.98343337829387,-66.02741649576222,-25.30185036242192,-10.46639773193465,-13.65881106274164,-5503229867.0,8130876052.0,2.791092340904628,0.529056677213061,49.96620939080297,35.77778203643693,27729906985,6182316144.0,21547590841.0,11685546011.0,2170037377.0,13955964667.0,6127914357.0,-593257525.0,-3153565149.0,-1653521688,-4046103535
KONTR,2023,13533000000.0,27764101204.0,46.89673957668054,2.31672242181384,1.643514728789167,79.22012257737045,7.396516373902166,2.074617755336122,-4.322447900153376,-12.52912652878136,-2.871774596493348,-2.066635726658783,-650066318.0,14231101204.0,40.60601758753926,0.9648147645345296,80.42298659547971,39.41788384120797,37325594543,17825476318.0,19500118225.0,18475542636.0,11542815260.0,5841442148.0,16893125883.0,1249502822.0,714905461.0,350467789,-730196565
KRDMD,2023,49474671331.0,55243124258.0,46.89673957668054,0.584443490857288,0.8279972072548416,8.083809810034516,7.772462788765722,10.24266066016348,-2.517296943896286,-2.210207121736284,2.385554429766044,-1.433425974012343,10839563116.0,5768452927.0,0.8441064292856693,1.421263182175259,33.36784730935516,6.858882213245589,127044704940,36570658485.0,90474046455.0,25731095369.0,16660987790.0,84652617584.0,66718974139.0,5185707438.0,1223249120.0,6833798117,-1679514697
KUYAS,2023,33240000000.0,33903098337.0,46.89673957668054,23.18363539992147,28.49185188974414,318.5790404635365,22.19864082839775,8.943416945536697,-110.2501412707438,-65.42250612152354,1.193315793597249,-28.22774158159138,80717986.0,663098337.0,6.230971276860584,1.024097507273771,71.5307211596518,52.02470310122926,5038522040,3430358473.0,1608163567.0,3349640487.0,254450664.0,1433769960.0,1189922595.0,264146643.0,-113579798.0,106419739,-1311891342
MAVI,2023,34418259840.0,30361014840.0,15.00669485905333,2.478425364228854,0.6361097157042885,3.434131003872883,50.9920748532801,18.52316393832699,4.805289993165821,16.84454707815546,23.08127801869115,8.725915652986043,6970098000.0,-4057245000.0,-0.4589145296438396,1.634224377240455,48.36575576533898,16.53607965288347,26981371000,17960054000.0,9021317000.0,10989956000.0,2059788000.0,13887148000.0,47729211000.0,24338115000.0,5644768000.0,8840960000,2293527000
MGROS,2023,116146290469.5,120037557469.5,17.95947977997968,1.469573268848448,0.2908193526150988,4.393760450245159,24.31140376010957,6.618916891540411,1.566815086482881,8.396291868531357,8.182353198393232,3.185791233070391,-19998945000.0,3891267000.0,0.142432880228243,0.7922389875504489,61.870667172833,15.17379160767878,209583279000,76260429000.0,133322850000.0,96259374000.0,33411199000.0,79034025000.0,412756429000.0,100346882000.0,-8252604000.0,27320005000,6467130000
